인천광역시,부평구,하동공원,784,126.69773864568651,37.47216516196671,
인천광역시,부평구,수정공원(84호공원),906,126.70172644317879,37.47633764407897,
인천광역시,부평구,백운초등학교 운동장,3484,126.70456699209406,37.47963182513603,
인천광역시,부평구,석정공원,907,126.69848775046674,37.469759319476545,
인천광역시,부평구,법성공원,1000,126.70498371747364,37.47491876947538,
인천광역시,부평구,약산공원,997,126.70737125152584,37.4733337153078,
인천광역시,부평구,상정초등학교 운동장,2976,126.69858926942072,37.47950826749269,
인천광역시,부평구,샘터공원,907,126.69991361486635,37.47087936601247,
인천광역시,부평구,십정체육공원,30841,126.69207131031558,37.48028919135161,
인천광역시,부평구,열우물공원,883,126.695837,37.475196,
인천광역시,부평구,십정초등학교 운동장,1960,126.69763569508791,37.47436571096047,
인천광역시,부평구,백운공원,125531,126.70287234300245,37.482117121388846,
인천광역시,부평구,부평서여자중학교 운동장,3049,126.705455,37.486108,
인천광역시,부평구,십정녹지,4991,126.69231,37.474249,
인천광역시,부평구,신촌초등학교 운동장,2758,126.70676652326894,37.48628001903778,
인천광역시,부평구,희망공원,1210,126.7124,37.4826,
인천광역시,부평구,한가람어린이공원,10104,126.7355,37.492,
인천광역시,부평구,동수녹지,2020,126.7296,37.4864,
인천광역시,부평구,인천예림학교 운동장,1089,126.7283,37.4862,
인천광역시,부평구,부원여자중학교 운동장,3388,126.7172,37.4927,
인천광역시,부평구,벚나무쉼터공원,8107,126.7168,37.5038,
인천광역시,부평구,인천부평서초등학교 운동장,1815,126.72128011420462,37.49492097057707,
인천광역시,부평구,부평여자고등학교 운동장,8712,126.7196,37.5004,
인천광역시,계양구,작전고등학교 운동장,5325,126.73003492089767,37.532710389382146,
경상북도,영양군,입암중학교 운동장,7986,129.08671525382528,36.59071816247484,
인천광역시,계양구,까치공원,14436,126.73732413997347,37.53332321770036,
인천광역시,계양구,성지초등학교 운동장,4098,126.7199647463785,37.526182551340376,
인천광역시,계양구,된밭공원,9872,126.72929649678872,37.53274911934574,
인천광역시,계양구,작동초등학교 운동장,4205,126.73565565398286,37.528891369446356,
인천광역시,계양구,작전체육공원(작전공원 2),6317,126.73530453548987,37.531069163069574,
인천광역시,계양구,서운공원,10859,126.74098887817986,37.528037853839436,
인천광역시,계양구,작전여자고등학교 운동장,5209,126.73005905470728,37.53204167319483,
인천광역시,계양구,안남고등학교 운동장,5205,126.72681441946894,37.52490801507136,
인천광역시,계양구,화전초등학교 운동장,4147,126.73098754439096,37.52855977191079,
인천광역시,미추홀구,인하사대부속중고등학교운동장,24872,126.66252083432208,37.446458265489866,
인천광역시,미추홀구,학익초등학교운동장,9987,126.65893883776664,37.446357758352256,
인천광역시,미추홀구,백학초등학교운동장,7865,126.67221206124695,37.438477117630875,
인천광역시,미추홀구,인화여자고등학교 운동장,6110,126.65320917069083,37.46942032508721,
인천광역시,미추홀구,인천전자마이스터고등학교,7959,126.65342442113864,37.47526188778871,
인천광역시,미추홀구,선인중학교 운동장,11773,126.65371926854391,37.47156881046113,
대구광역시,달성군,옥포초등학교운동장,5051,128.46414794820538,35.78811237361063,
대구광역시,달성군,반송초등학교운동장,5576,128.49452582282748,35.75637762165875,
대구광역시,달성군,강림초등학교운동장,3310,128.43670716800418,35.7812150460232,
대구광역시,달성군,경서중학교운동장,12135,128.43440473258332,35.780696142650406,
경기도,평택시,새터근린공원,19360,126.91880716917552,37.021081872471115,
